epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.044,1.51588,4.62465,1.31544,0.44388,0.35823,0.3545,0.21614,1.35081,5.98018,1.30975,0.00023,0.00023,0.00023
2,325.611,1.28741,2.4067,1.23742,0.52916,0.33432,0.29951,0.18736,1.4751,4.16117,1.57288,0.000460694,0.000460694,0.000460694
3,492.926,1.36892,2.23829,1.29589,0.5091,0.28173,0.33581,0.19649,1.52419,4.50204,1.5105,0.000681884,0.000681884,0.000681884
4,661.25,1.3629,1.86562,1.29293,0.55646,0.4184,0.40109,0.21476,1.6908,2.44126,1.60772,0.00089357,0.00089357,0.00089357
5,827.989,1.46027,1.84166,1.35014,0.60028,0.37455,0.38339,0.21237,1.76795,2.63117,1.60953,0.0009208,0.0009208,0.0009208
6,996.685,1.4167,1.79266,1.29198,0.47192,0.36537,0.37855,0.20465,1.62723,2.14121,1.53245,0.000901,0.000901,0.000901
7,1164.32,1.52759,1.75563,1.36387,0.43992,0.45436,0.39375,0.22071,1.7015,2.24929,1.61167,0.0008812,0.0008812,0.0008812
8,1332.22,1.40389,1.5241,1.27539,0.53135,0.50409,0.48589,0.2575,1.76606,2.2166,1.63681,0.0008614,0.0008614,0.0008614
9,1500.95,1.41534,1.54695,1.32185,0.51338,0.47227,0.49867,0.26301,1.64924,2.27121,1.58885,0.0008416,0.0008416,0.0008416
10,1670.51,1.35604,1.40301,1.29405,0.56336,0.45979,0.51688,0.28739,1.59539,1.88988,1.53186,0.0008218,0.0008218,0.0008218
11,1851.96,1.32745,1.48141,1.26779,0.69232,0.51004,0.5633,0.31742,1.5684,1.9145,1.4514,0.000802,0.000802,0.000802
12,2040.68,1.31665,1.42283,1.2629,0.51568,0.5088,0.48256,0.27732,1.6134,2.0703,1.54823,0.0007822,0.0007822,0.0007822
13,2208.96,1.25645,1.29407,1.251,0.72655,0.44777,0.51695,0.28872,1.62802,2.05203,1.60808,0.0007624,0.0007624,0.0007624
14,2375.87,1.24343,1.27538,1.22636,0.53938,0.47626,0.53173,0.28285,1.69514,1.82456,1.61919,0.0007426,0.0007426,0.0007426
15,2542.92,1.3105,1.34205,1.24665,0.64813,0.44102,0.47301,0.25056,1.69448,1.89903,1.58222,0.0007228,0.0007228,0.0007228
16,2712.46,1.30384,1.37609,1.198,0.51133,0.56177,0.52202,0.28385,1.58099,1.90144,1.51654,0.000703,0.000703,0.000703
17,2879.47,1.26758,1.24932,1.21095,0.62024,0.46835,0.49918,0.27515,1.58954,2.04212,1.50997,0.0006832,0.0006832,0.0006832
18,3050.42,1.16068,1.22637,1.17036,0.68925,0.48523,0.51505,0.31734,1.49989,2.01102,1.45898,0.0006634,0.0006634,0.0006634
