epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6409,1.51005,3.86798,1.23539,0.00926,0.46078,0.16716,0.11312,1.12226,4.09769,1.07366,0.00015,0.00015,0.00015
2,132.379,1.44783,2.98353,1.23539,0.00795,0.4531,0.21795,0.1485,1.04973,3.88317,0.99893,0.000303862,0.000303862,0.000303862
3,215.218,1.47433,2.50076,1.24956,0.80296,0.0674,0.26326,0.19081,1.08212,3.7029,1.01981,0.000451388,0.000451388,0.000451388
4,299.129,1.42948,2.34802,1.18908,0.35403,0.09861,0.20126,0.1351,1.11756,3.54902,1.08224,0.000592578,0.000592578,0.000592578
5,412.257,1.47146,2.36481,1.2262,0.5138,0.08647,0.21953,0.15852,1.30361,3.33387,1.11226,0.000727432,0.000727432,0.000727432
6,519.117,1.42812,2.20747,1.21541,0.34806,0.18874,0.24004,0.1503,1.18931,3.0444,1.11175,0.00085595,0.00085595,0.00085595
7,605.608,1.43502,2.09156,1.22118,0.43596,0.30846,0.31994,0.20193,1.33945,2.78023,1.17617,0.0008812,0.0008812,0.0008812
8,706.09,1.44318,2.09505,1.24501,0.4269,0.42391,0.38531,0.23959,1.40893,3.27988,1.23961,0.0008614,0.0008614,0.0008614
9,799.225,1.46845,2.02697,1.26835,0.38366,0.40535,0.37166,0.21568,1.54602,2.66537,1.27749,0.0008416,0.0008416,0.0008416
10,893.473,1.43078,2.0098,1.22504,0.43047,0.4567,0.36074,0.2215,1.52812,2.49227,1.37684,0.0008218,0.0008218,0.0008218
11,982.561,1.39285,1.95106,1.19489,0.36132,0.38968,0.35224,0.22162,1.70293,2.7482,1.49239,0.000802,0.000802,0.000802
12,1073.34,1.43662,1.98833,1.2348,0.3769,0.45498,0.38522,0.23277,1.45535,2.8395,1.24056,0.0007822,0.0007822,0.0007822
13,1169.15,1.33007,1.79541,1.19471,0.37406,0.39229,0.3365,0.21155,1.3572,2.54676,1.17957,0.0007624,0.0007624,0.0007624
14,1239.51,1.30671,1.78982,1.1609,0.41534,0.35452,0.34616,0.20916,1.41776,2.26997,1.21167,0.0007426,0.0007426,0.0007426
15,1298.12,1.33485,1.81741,1.21624,0.58919,0.31653,0.39164,0.22085,1.50684,2.3916,1.25198,0.0007228,0.0007228,0.0007228
16,1367.65,1.38235,1.746,1.18172,0.7932,0.34887,0.44661,0.26166,1.50222,2.20594,1.27179,0.000703,0.000703,0.000703
17,1432.35,1.304,1.56539,1.12699,0.44584,0.43952,0.46252,0.29203,1.43626,2.45439,1.30508,0.0006832,0.0006832,0.0006832
18,1493.88,1.21329,1.56909,1.13475,0.64429,0.46142,0.47599,0.31074,1.30432,2.34821,1.15781,0.0006634,0.0006634,0.0006634
19,1555.12,1.32241,1.65997,1.17445,0.60268,0.43094,0.44063,0.29306,1.37357,2.39137,1.21349,0.0006436,0.0006436,0.0006436
20,1651.77,1.28457,1.46537,1.11089,0.61,0.48086,0.46813,0.29059,1.45263,2.38703,1.19475,0.0006238,0.0006238,0.0006238
21,1749.13,1.25822,1.55113,1.12095,0.55023,0.50596,0.45435,0.27793,1.54664,2.13706,1.23218,0.000604,0.000604,0.000604
22,1842.05,1.24377,1.44948,1.12091,0.54456,0.40465,0.43985,0.27239,1.48685,2.26665,1.23967,0.0005842,0.0005842,0.0005842
23,1931.3,1.19615,1.45359,1.09162,0.58365,0.41599,0.44644,0.26164,1.49208,2.65553,1.2769,0.0005644,0.0005644,0.0005644
24,2029.57,1.25922,1.44534,1.13409,0.45027,0.49445,0.44165,0.27291,1.51086,2.43371,1.2173,0.0005446,0.0005446,0.0005446
25,2127.84,1.22698,1.4348,1.10564,0.54305,0.48582,0.47002,0.30428,1.56572,2.62081,1.27479,0.0005248,0.0005248,0.0005248
26,2220.32,1.19818,1.34146,1.08263,0.51023,0.48723,0.50406,0.32535,1.72414,2.24411,1.60723,0.000505,0.000505,0.000505
27,2303.04,1.17277,1.31628,1.07665,0.51073,0.52047,0.48216,0.31873,1.59493,2.37302,1.31328,0.0004852,0.0004852,0.0004852
28,2383.83,1.20359,1.37112,1.12765,0.53383,0.50104,0.49024,0.31054,1.52242,2.75918,1.2217,0.0004654,0.0004654,0.0004654
29,2464.02,1.15634,1.35525,1.06636,0.57191,0.47793,0.49235,0.31686,1.39875,2.69706,1.17476,0.0004456,0.0004456,0.0004456
30,2534.42,1.16982,1.38221,1.09479,0.54593,0.50034,0.48232,0.31286,1.42706,2.45124,1.18334,0.0004258,0.0004258,0.0004258
31,2610.82,1.13462,1.29172,1.07425,0.5097,0.46895,0.44904,0.2987,1.4229,2.54723,1.16352,0.000406,0.000406,0.000406
32,2699.23,1.10243,1.28445,1.04052,0.47806,0.48358,0.44869,0.29752,1.40876,2.72762,1.15033,0.0003862,0.0003862,0.0003862
33,2788.39,1.08548,1.2464,1.06101,0.46641,0.51793,0.47011,0.30248,1.35989,2.6779,1.13413,0.0003664,0.0003664,0.0003664
34,2877.82,1.0784,1.26706,1.0805,0.56721,0.51187,0.47699,0.3117,1.3894,2.31531,1.12565,0.0003466,0.0003466,0.0003466
35,2956.34,1.03584,1.28507,1.03844,0.67783,0.49211,0.5046,0.33362,1.46157,1.81874,1.14022,0.0003268,0.0003268,0.0003268
36,3041.54,1.06605,1.22732,1.04895,0.67525,0.50644,0.53815,0.34612,1.45073,1.60958,1.14716,0.000307,0.000307,0.000307
37,3119.75,1.1438,1.29035,1.05029,0.68064,0.47998,0.54342,0.34717,1.41047,1.56948,1.15335,0.0002872,0.0002872,0.0002872
38,3199.42,1.08163,1.19236,1.04052,0.66593,0.50864,0.53703,0.34366,1.36599,1.59238,1.14997,0.0002674,0.0002674,0.0002674
39,3274.79,1.06941,1.12595,1.02737,0.66372,0.53996,0.51743,0.32921,1.40296,1.68417,1.15316,0.0002476,0.0002476,0.0002476
40,3345.42,1.0592,1.2237,1.04871,0.66857,0.54905,0.52761,0.3416,1.46316,1.58866,1.16516,0.0002278,0.0002278,0.0002278
41,3410.03,1.02724,1.29387,1.03763,0.63707,0.49406,0.52373,0.34688,1.45425,1.53719,1.15643,0.000208,0.000208,0.000208
42,3502.37,0.95613,1.25025,1.01838,0.75281,0.43992,0.53018,0.35514,1.42049,1.59204,1.14622,0.0001882,0.0001882,0.0001882
43,3596.35,0.99713,1.31831,1.00185,0.71625,0.45014,0.52196,0.35066,1.45119,1.62226,1.16444,0.0001684,0.0001684,0.0001684
44,3690.95,0.99998,1.27553,1.00345,0.6633,0.49368,0.51,0.33429,1.46521,1.63548,1.17363,0.0001486,0.0001486,0.0001486
45,3789.07,0.95117,1.21627,0.97563,0.6246,0.54489,0.51179,0.33677,1.47937,1.71793,1.16931,0.0001288,0.0001288,0.0001288
46,3886.57,0.93588,1.16058,0.97747,0.60419,0.52936,0.51441,0.34276,1.48052,1.89047,1.15966,0.000109,0.000109,0.000109
47,3980.46,0.92985,1.15721,0.98929,0.64901,0.49831,0.52195,0.34964,1.47954,1.88564,1.15061,8.92e-05,8.92e-05,8.92e-05
48,4045.93,0.97548,1.22127,0.99811,0.72612,0.49341,0.52344,0.3575,1.47707,1.81422,1.14409,6.94e-05,6.94e-05,6.94e-05
49,4110.4,0.8989,1.13408,0.96167,0.74637,0.47952,0.53033,0.36075,1.48252,1.76156,1.14499,4.96e-05,4.96e-05,4.96e-05
50,4171.08,0.91367,1.1594,0.96562,0.76073,0.47471,0.53352,0.36379,1.47842,1.71223,1.14175,2.98e-05,2.98e-05,2.98e-05
