epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,22536.1,0.95835,0.84711,1.10678,0.72668,0.56398,0.61634,0.37381,1.49883,1.59555,1.60751,0.00066175,0.00066175,0.00066175
43,22885.4,1.0079,0.91093,1.1457,0.76179,0.58811,0.64426,0.39384,1.50159,1.47566,1.58992,0.0006535,0.0006535,0.0006535
44,24426.6,1.01395,0.86967,1.14269,0.80682,0.57851,0.64498,0.41955,1.4597,1.41334,1.5711,0.00064525,0.00064525,0.00064525
45,26664.8,1.02503,0.88809,1.12494,0.66625,0.60885,0.62427,0.36437,1.59273,1.54701,1.63116,0.000637,0.000637,0.000637
46,29721.5,0.89778,0.78854,1.07736,0.75547,0.55847,0.62741,0.37682,1.55238,1.46619,1.62413,0.00062875,0.00062875,0.00062875
47,30045.5,0.90253,0.7987,1.07391,0.76579,0.54939,0.61452,0.36561,1.46754,1.59791,1.58842,0.0006205,0.0006205,0.0006205
48,30348.7,0.94355,0.79305,1.09838,0.74966,0.61927,0.62552,0.3507,1.55004,1.64038,1.69198,0.00061225,0.00061225,0.00061225
49,30646.6,0.9457,0.80636,1.13632,0.81297,0.57335,0.65536,0.36918,1.57791,1.56197,1.69093,0.000604,0.000604,0.000604
50,30938.5,0.90591,0.81513,1.07972,0.81334,0.5591,0.63676,0.36201,1.56096,1.62574,1.62732,0.00059575,0.00059575,0.00059575
51,31235.3,0.89122,0.77994,1.05312,0.81708,0.60356,0.67641,0.38106,1.51498,1.4369,1.56085,0.0005875,0.0005875,0.0005875
52,31538.8,0.93934,0.78073,1.12118,0.80108,0.53188,0.63702,0.37745,1.5603,1.42789,1.60845,0.00057925,0.00057925,0.00057925
53,31908.9,0.87705,0.74344,1.05899,0.79577,0.5616,0.63149,0.37601,1.49891,1.54261,1.54524,0.000571,0.000571,0.000571
54,32298.7,0.85106,0.69135,1.03948,0.77349,0.56671,0.62528,0.38724,1.47055,1.60519,1.5579,0.00056275,0.00056275,0.00056275
55,32874.5,0.89698,0.75142,1.10876,0.80972,0.58256,0.62687,0.37387,1.47172,1.57062,1.57064,0.0005545,0.0005545,0.0005545
56,33704.2,0.88531,0.77605,1.07818,0.84266,0.582,0.67045,0.38738,1.46341,1.50758,1.57389,0.00054625,0.00054625,0.00054625
57,34009.9,0.88528,0.73692,1.08414,0.76969,0.61991,0.67588,0.40133,1.43613,1.4298,1.56728,0.000538,0.000538,0.000538
58,34283.6,0.882,0.75811,1.08024,0.78711,0.63394,0.70045,0.41119,1.44665,1.47107,1.57055,0.00052975,0.00052975,0.00052975
59,34594.9,0.83685,0.72531,1.05355,0.71083,0.61113,0.64774,0.38712,1.44652,1.52468,1.56562,0.0005215,0.0005215,0.0005215
60,34880.4,0.86113,0.68642,1.06529,0.71176,0.61438,0.63425,0.38945,1.43103,1.63789,1.56737,0.00051325,0.00051325,0.00051325
61,35169.8,0.83687,0.6715,1.06159,0.70773,0.60322,0.62809,0.38593,1.39778,1.66147,1.52997,0.000505,0.000505,0.000505
62,35456.1,0.84392,0.66585,1.05042,0.66464,0.66225,0.64218,0.39802,1.38678,1.60928,1.50183,0.00049675,0.00049675,0.00049675
63,35723.4,0.84824,0.66782,1.0392,0.73835,0.62429,0.65595,0.41339,1.38513,1.52028,1.50835,0.0004885,0.0004885,0.0004885
64,35991.7,0.80963,0.66927,1.05652,0.81893,0.61171,0.67024,0.40921,1.43355,1.44842,1.55591,0.00048025,0.00048025,0.00048025
65,36252.2,0.81321,0.63299,1.00936,0.88852,0.59289,0.6879,0.41675,1.42625,1.39043,1.53188,0.000472,0.000472,0.000472
66,36511.9,0.83613,0.66559,1.01432,0.82636,0.63599,0.69498,0.42073,1.42408,1.38605,1.50364,0.00046375,0.00046375,0.00046375
67,36771.7,0.83629,0.66023,1.0573,0.83268,0.59027,0.68871,0.42228,1.42573,1.35846,1.52536,0.0004555,0.0004555,0.0004555
68,37032.2,0.81149,0.66288,1.03072,0.77332,0.59451,0.66811,0.40423,1.43173,1.44147,1.53343,0.00044725,0.00044725,0.00044725
69,37293.5,0.77325,0.60338,0.99464,0.72948,0.61395,0.6709,0.39569,1.40931,1.42502,1.54216,0.000439,0.000439,0.000439
70,37554.8,0.83113,0.6348,1.0263,0.78682,0.54504,0.6234,0.3719,1.45699,1.47981,1.58596,0.00043075,0.00043075,0.00043075
71,37816.4,0.77164,0.62266,0.98984,0.85533,0.56649,0.63878,0.38475,1.46965,1.4205,1.61177,0.0004225,0.0004225,0.0004225
72,38086.4,0.77111,0.60121,1.0273,0.81516,0.57141,0.65031,0.40461,1.43689,1.44022,1.56135,0.00041425,0.00041425,0.00041425
73,38348.3,0.77175,0.60068,1.00504,0.80484,0.57922,0.65353,0.42522,1.40687,1.32316,1.51754,0.000406,0.000406,0.000406
74,38608.3,0.75049,0.60851,1.01176,0.77238,0.57582,0.65599,0.41519,1.4358,1.35265,1.55242,0.00039775,0.00039775,0.00039775
75,38867.4,0.77112,0.61656,1.00768,0.74771,0.61268,0.67123,0.41755,1.3991,1.41431,1.51842,0.0003895,0.0003895,0.0003895
76,39128.2,0.7475,0.56685,1.00199,0.71011,0.6787,0.69221,0.43186,1.38621,1.41987,1.51851,0.00038125,0.00038125,0.00038125
77,39389.6,0.73831,0.55394,0.97214,0.82116,0.64907,0.70379,0.41328,1.43184,1.37968,1.54575,0.000373,0.000373,0.000373
78,39649.7,0.73325,0.58701,1.00357,0.82641,0.61259,0.69501,0.41184,1.46207,1.31517,1.60367,0.00036475,0.00036475,0.00036475
79,39910.5,0.74313,0.58301,1.00391,0.75819,0.62712,0.66252,0.40486,1.46967,1.38414,1.6431,0.0003565,0.0003565,0.0003565
80,40170.2,0.74735,0.6009,0.99449,0.67187,0.65605,0.6662,0.41038,1.42805,1.36416,1.60742,0.00034825,0.00034825,0.00034825
81,40429.4,0.70206,0.54039,1.01651,0.68733,0.6739,0.68791,0.42497,1.38378,1.32706,1.55738,0.00034,0.00034,0.00034
82,40692.4,0.70918,0.55405,0.98837,0.8717,0.5714,0.67533,0.41593,1.40038,1.37387,1.55902,0.00033175,0.00033175,0.00033175
83,40956.6,0.69026,0.53526,0.98283,0.74449,0.66417,0.68919,0.42386,1.39768,1.39747,1.57681,0.0003235,0.0003235,0.0003235
84,41217.3,0.71364,0.57666,0.97715,0.70023,0.63924,0.67351,0.40627,1.42494,1.4547,1.5677,0.00031525,0.00031525,0.00031525
85,41478.1,0.70044,0.52391,0.98364,0.77098,0.6045,0.68614,0.40259,1.43731,1.45795,1.57897,0.000307,0.000307,0.000307
86,41738.3,0.66641,0.54002,0.95048,0.73469,0.61892,0.69493,0.40801,1.4648,1.44009,1.57252,0.00029875,0.00029875,0.00029875
87,41999.8,0.70297,0.54575,0.97035,0.83203,0.58386,0.6882,0.40994,1.42943,1.34487,1.56982,0.0002905,0.0002905,0.0002905
88,42258.2,0.67335,0.51644,0.95836,0.87572,0.57136,0.7003,0.42329,1.38014,1.2995,1.5514,0.00028225,0.00028225,0.00028225
89,42518.5,0.66914,0.49969,0.95346,0.83352,0.59934,0.70832,0.44158,1.34172,1.31524,1.53409,0.000274,0.000274,0.000274
90,42779.6,0.69114,0.53332,1.00789,0.86009,0.61723,0.71319,0.43803,1.36615,1.29567,1.61862,0.00026575,0.00026575,0.00026575
91,43040.2,0.66424,0.5279,0.99485,0.82816,0.63753,0.70085,0.44385,1.36221,1.27731,1.58761,0.0002575,0.0002575,0.0002575
92,43301.5,0.62952,0.49275,0.94671,0.81684,0.64233,0.71056,0.4379,1.35895,1.28178,1.58652,0.00024925,0.00024925,0.00024925
93,43560.7,0.65988,0.53482,0.9633,0.75481,0.69972,0.70802,0.44174,1.34975,1.27903,1.5714,0.000241,0.000241,0.000241
94,43823.4,0.63663,0.54286,0.94035,0.78342,0.67579,0.69867,0.43906,1.36675,1.33457,1.55919,0.00023275,0.00023275,0.00023275
95,44084,0.64584,0.49284,0.9837,0.79978,0.67121,0.70428,0.43926,1.35129,1.35142,1.51052,0.0002245,0.0002245,0.0002245
96,44344.2,0.62556,0.52591,0.91666,0.77293,0.70912,0.71607,0.43737,1.34491,1.28802,1.53606,0.00021625,0.00021625,0.00021625
97,44605.7,0.6297,0.50065,0.94458,0.80937,0.63769,0.70802,0.42623,1.38253,1.24727,1.56948,0.000208,0.000208,0.000208
98,44884.5,0.63148,0.48137,0.94659,0.79359,0.65148,0.70965,0.43897,1.39458,1.27176,1.57825,0.00019975,0.00019975,0.00019975
99,45199.4,0.62458,0.49646,0.94838,0.85672,0.62364,0.69987,0.43606,1.36439,1.33102,1.51986,0.0001915,0.0001915,0.0001915
100,72365.9,0.63169,0.4953,0.95763,0.78413,0.67395,0.71181,0.44423,1.36347,1.36801,1.50303,0.00018325,0.00018325,0.00018325
101,72613,0.59694,0.45418,0.94542,0.81834,0.65122,0.70108,0.43063,1.38234,1.3386,1.52923,0.000175,0.000175,0.000175
102,72860.6,0.61693,0.45826,0.93831,0.81925,0.61614,0.69516,0.43471,1.3768,1.27425,1.52854,0.00016675,0.00016675,0.00016675
103,73120.4,0.61711,0.48551,0.95397,0.7984,0.62753,0.68684,0.42422,1.38006,1.2704,1.5444,0.0001585,0.0001585,0.0001585
104,73378,0.62071,0.47661,0.9349,0.80096,0.64556,0.6911,0.42972,1.38479,1.26854,1.56585,0.00015025,0.00015025,0.00015025
105,73633.2,0.56187,0.44429,0.92559,0.75169,0.6701,0.71137,0.43722,1.36708,1.27552,1.54877,0.000142,0.000142,0.000142
106,73889.5,0.5908,0.4704,0.9249,0.80633,0.64759,0.72364,0.44444,1.39092,1.26127,1.54621,0.00013375,0.00013375,0.00013375
107,74146.2,0.5726,0.4604,0.92394,0.84826,0.62294,0.71916,0.44448,1.38149,1.25295,1.52818,0.0001255,0.0001255,0.0001255
108,74402.8,0.58224,0.46474,0.93649,0.90007,0.60723,0.7326,0.45699,1.37543,1.20712,1.52373,0.00011725,0.00011725,0.00011725
109,74658.1,0.59196,0.45554,0.93829,0.77652,0.66926,0.72962,0.4558,1.37297,1.1938,1.52056,0.000109,0.000109,0.000109
110,74914.3,0.56745,0.43741,0.92328,0.77581,0.68299,0.72128,0.44706,1.38165,1.17906,1.53334,0.00010075,0.00010075,0.00010075
111,75171.6,0.54222,0.40209,0.91129,0.73187,0.69551,0.71666,0.44308,1.39493,1.16717,1.57342,9.25e-05,9.25e-05,9.25e-05
112,75426.4,0.54911,0.41531,0.9155,0.73433,0.6977,0.71275,0.43791,1.37073,1.18025,1.56116,8.425e-05,8.425e-05,8.425e-05
113,75684,0.51443,0.38086,0.88933,0.72394,0.68693,0.7004,0.43978,1.36279,1.18078,1.55968,7.6e-05,7.6e-05,7.6e-05
114,75942.3,0.56136,0.46674,0.92342,0.73133,0.68705,0.69923,0.44281,1.34476,1.18698,1.55241,6.775e-05,6.775e-05,6.775e-05
115,76198,0.53104,0.38713,0.88408,0.70391,0.68838,0.69496,0.44475,1.32945,1.17867,1.54347,5.95e-05,5.95e-05,5.95e-05
116,76453.1,0.49123,0.37452,0.88158,0.69433,0.70388,0.69658,0.44722,1.32958,1.18062,1.54679,5.125e-05,5.125e-05,5.125e-05
117,76745.2,0.48655,0.37358,0.87929,0.70276,0.69709,0.70162,0.44491,1.33323,1.19201,1.55508,4.3e-05,4.3e-05,4.3e-05
118,77103.6,0.49506,0.37333,0.87361,0.77833,0.64046,0.70289,0.44615,1.33879,1.19814,1.56778,3.475e-05,3.475e-05,3.475e-05
119,77511.8,0.49827,0.37722,0.89214,0.83246,0.62474,0.70353,0.44356,1.35732,1.21084,1.58554,2.65e-05,2.65e-05,2.65e-05
120,77916.3,0.53383,0.3889,0.93529,0.83779,0.61617,0.70438,0.44489,1.36217,1.19797,1.59485,1.825e-05,1.825e-05,1.825e-05
