epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2737,1.71115,4.07629,1.46358,0.00269,0.1069,0.05541,0.04013,1.66235,4.23221,1.13105,7e-05,7e-05,7e-05
2,62.8491,1.52373,3.63944,1.31956,0.0026,0.13333,0.08658,0.0583,1.7768,4.21805,1.15959,0.00014703,0.00014703,0.00014703
3,88.3427,1.50668,3.19209,1.2617,0.0047,0.2,0.11629,0.06575,1.71871,4.11197,1.18263,0.000220892,0.000220892,0.000220892
4,113.156,1.46708,2.62082,1.24362,1,0.032,0.14457,0.09095,1.73224,3.94581,1.19027,0.000291586,0.000291586,0.000291586
5,138.688,1.49763,2.65219,1.29665,1,0.03107,0.15155,0.08319,1.82414,3.89999,1.23815,0.000359112,0.000359112,0.000359112
6,163.406,1.44904,2.42658,1.246,0.00507,0.22471,0.12435,0.06859,1.813,3.85596,1.24533,0.00042347,0.00042347,0.00042347
7,189.148,1.46692,2.36986,1.24205,1,0.04557,0.09763,0.06296,1.89432,3.66699,1.2676,0.00048466,0.00048466,0.00048466
8,214.995,1.39028,2.03408,1.22236,0.97801,0.05,0.11225,0.06654,1.96663,3.53871,1.34528,0.000542682,0.000542682,0.000542682
9,241.258,1.42291,2.19381,1.2689,0.50405,0.05,0.15262,0.08015,1.99008,3.22565,1.34274,0.000597536,0.000597536,0.000597536
10,266.514,1.40913,2.10313,1.20932,0.52269,0.05,0.18082,0.08519,1.99912,3.12401,1.36933,0.000649222,0.000649222,0.000649222
11,292.144,1.47179,1.96125,1.30172,0.52557,0.05697,0.19359,0.0981,1.91036,3.05991,1.37135,0.00069774,0.00069774,0.00069774
12,318.536,1.40198,2.08808,1.25113,0.54553,0.09744,0.22908,0.10827,1.93276,2.93734,1.37513,0.00074309,0.00074309,0.00074309
13,344.312,1.35482,1.94217,1.21172,0.74327,0.13516,0.24151,0.12972,1.91057,2.73584,1.32986,0.0007624,0.0007624,0.0007624
14,370.597,1.46582,2.0013,1.28116,0.70986,0.23093,0.24498,0.13366,2.01192,2.54523,1.39495,0.0007426,0.0007426,0.0007426
15,396.867,1.36418,1.87838,1.21999,0.50522,0.24368,0.25799,0.12584,1.99503,2.40919,1.39497,0.0007228,0.0007228,0.0007228
16,425.465,1.34643,1.7437,1.21469,0.51711,0.25943,0.27021,0.13875,1.9533,2.25718,1.35193,0.000703,0.000703,0.000703
